Review	Liked
Generous portions and every ingredient was top quality	1
The food was absolutely delicious and the service was excellent	1
Highly recommend the burger, it was absolutely amazing	1
The garlic bread alone was worth the visit, absolutely divine	1
Cozy interior and the food was simply outstanding	1
Loved the live music and the delicious cocktails served	1
The desserts were heavenly, especially the chocolate cake	1
Never received our appetizers, had to ask three times	0
Fresh ingredients and great presentation, loved every bite	1
Superb quality, everything tasted homemade and fresh	1
Worst dining experience I have had, never coming back	0
Best brunch spot in the city, the eggs benedict was perfect	1
Bread was stale and the butter was not even softened	0
Service was lightning fast and the food was piping hot	1
Service was chaotic and disorganized from start to finish	0
Waited over an hour for our food and it was not worth it	0
Sat near the kitchen and the noise was absolutely dreadful	0
Very small portions for the price, left feeling hungry	0
Found a hair in my food and the staff were unapologetic	0
The food was cold and the service was very slow	0
Loved the variety on the menu and the quick service	1
The vegetables were soggy and clearly had been sitting for hours	0
Fantastic meal, the chef clearly knows what they are doing	1
Rude staff who ignored our requests multiple times	0
The tiramisu was the best I have ever tasted, no contest	1
The kitchen took forever and then got our order wrong	0
Overpriced for the portion size and mediocre quality	0
The dessert was stale, clearly not freshly made	0
Delightful dining experience from start to finish	1
Will be recommending this gem to all my friends and family	1
The chicken was dry and completely lacking in flavor	0
Staff seemed completely disinterested in providing good service	0
The pizza was crispy and loaded with fresh toppings	1
The noise level was unbearable, could not hold a conversation	0
Completely ignored after being seated for twenty minutes	0
One of the best meals I have had in years, truly impressive	1
The ambiance was nice but the food was simply terrible	0
Quick service without compromising on quality at all	1
Very disappointing, nothing like the photos on the website	0
Very clean restaurant with attentive and polite staff	1
The salad was wilted and the dressing was far too sour	0
Wonderful atmosphere and the staff were very friendly	1
The seafood platter was incredibly fresh and flavorful	1
Everything exceeded our expectations, five stars well deserved	1
Outstanding customer service and delicious food	1
Management was dismissive when we raised our complaint	0
Perfect date night spot, romantic and cozy ambiance	1
Lovely outdoor seating area, perfect for a sunny afternoon	1
The pasta sauce tasted like it came straight from a jar	0
The menu looked great but the execution was very poor	0
The restaurant was dirty and the bathrooms were disgusting	0
The pizza crust was burnt and the toppings were sparse	0
Excellent wine selection and knowledgeable sommelier	1
Incredible ambiance complemented by equally incredible food	1
Terrible experience, the waiter was rude and unhelpful	0
The soup was rich and hearty, perfect for a cold evening	1
The steak was overcooked and tough despite ordering medium rare	0
Beautiful presentation and the taste matched the look	1
The pasta was undercooked and the sauce was bland	0
Very poor experience overall, not worth the high prices	0
Terrible parking and even worse food quality	0
Great value for money, portions are generous	1
Staff remembered our preferences from our last visit, impressive	1
Our reservation was ignored and we were seated much later	0
Would not recommend, way too expensive for such poor quality	0
Extremely disappointing given all the positive reviews online	0
The burger was dry and the bun was falling apart	0
The mushroom risotto was creamy and absolutely delicious	1
The chef came out personally, adding a lovely personal touch	1
Amazing experience, will definitely come back again	1
The cocktails were watered down and overpriced	0
Friendly staff made us feel very welcome and comfortable	1
Best restaurant in town, highly recommend the pasta	1
The flavors were bold and well balanced in every dish	1
The wine was corked and they refused to replace it	0
The pasta was perfectly cooked with a rich, creamy sauce	1
The fish smelled off and should not have been served	0
The portions shrunk since our last visit and prices went up	0
The steak was cooked to perfection, juicy and tender	1
Food arrived cold and the manager showed no concern	0
